c  
c  p-d data from Barklem and O'Mara 1997, MNRAS, 290, 102
c
425   461   507   566   630   706   799   889   995  1083  1191  1334  1478  1608  1790  1870  1936  2140 
429   460   505   565   633   704   795   896   985  1082  1199  1340  1487  1611  1795  1872  1937  2136 
419   451   501   556   627   700   785   891   977  1088  1212  1346  1493  1604  1793  1863  1930  2144 
402   437   489   544   614   695   779   875   975  1102  1221  1350  1488  1591  1774  1844  1919  2126 
384   418   467   529   595   674   769   856   976  1108  1224  1338  1467  1570  1743  1817  1900  2118 
366   397   443   505   576   651   755   841   973  1095  1210  1308  1435  1545  1702  1786  1878  2081 
356   387   432   489   562   635   722   841   961  1078  1175  1273  1397  1517  1672  1763  1863  2034 
359   388   431   479   545   624   707   834   943  1059  1158  1256  1368  1490  1647  1747  1849  1998 
361   394   436   483   547   615   704   817   920  1027  1124  1238  1358  1465  1624  1736  1838  1978 
400   382   440   489   546   610   690   817   897   998  1115  1201  1351  1453  1599  1728  1829  1953 
474   461   416   491   549   612   701   806   883   974  1078  1194  1310  1456  1569  1716  1818  1925 
531   518   507   463   547   615   694   784   881   958  1047  1153  1297  1432  1547  1688  1809  1901 
594   585   577   564   513   615   695   779   879   949  1041  1145  1264  1388  1544  1644  1804  1879 
675   659   651   639   632   576   695   782   879   957  1046  1141  1254  1391  1524  1614  1793  1871 
739   734   726   719   715   708   663   776   901   971  1022  1117  1232  1355  1478  1616  1766  1887 
819   821   805   784   773   761   736   761   888   958  1044  1145  1237  1346  1487  1614  1721  1891 
899   895   871   852   856   861   854   759   883   984  1027  1113  1226  1355  1467  1568  1703  1885 
973   946   955   925   939   927   902   920   870   987  1061  1145  1234  1319  1439  1552  1722  1859 
c
.281  .288  .283  .282  .278  .281  .272  .274  .268  .257  .251  .243  .246  .251  .254  .268  .304  .308  
.290  .297  .291  .290  .286  .282  .277  .275  .267  .254  .252  .244  .250  .257  .260  .274  .308  .312  
.294  .299  .293  .294  .288  .289  .281  .276  .265  .256  .251  .247  .258  .264  .268  .283  .318  .317  
.297  .298  .302  .300  .289  .295  .290  .276  .264  .256  .260  .258  .268  .277  .281  .292  .330  .327  
.305  .311  .313  .315  .305  .304  .299  .279  .271  .272  .273  .276  .285  .290  .293  .302  .340  .340  
.292  .294  .303  .305  .301  .307  .290  .277  .274  .278  .287  .288  .295  .302  .306  .312  .343  .346  
.268  .277  .279  .285  .285  .290  .279  .278  .280  .283  .295  .296  .305  .310  .313  .315  .342  .346  
.288  .285  .280  .278  .278  .277  .272  .271  .279  .288  .297  .305  .310  .313  .311  .310  .335  .338  
.314  .304  .292  .282  .275  .275  .262  .272  .290  .293  .299  .307  .308  .310  .303  .302  .325  .328  
.346  .329  .313  .295  .283  .275  .264  .274  .288  .302  .307  .310  .306  .307  .292  .296  .315  .320  
.320  .295  .326  .318  .294  .277  .275  .271  .293  .303  .305  .309  .309  .303  .294  .294  .310  .313  
.304  .310  .297  .320  .317  .297  .283  .274  .298  .305  .308  .311  .313  .300  .290  .293  .305  .306  
.314  .313  .308  .297  .325  .314  .293  .276  .292  .309  .314  .308  .303  .296  .286  .291  .301  .302  
.308  .311  .307  .312  .288  .340  .305  .285  .294  .310  .315  .309  .296  .285  .281  .288  .298  .295  
.313  .310  .315  .303  .313  .294  .331  .286  .294  .307  .320  .316  .303  .281  .278  .285  .290  .292  
.315  .306  .308  .297  .295  .283  .334  .297  .280  .294  .314  .321  .313  .291  .280  .279  .287  .290  
.308  .304  .305  .297  .279  .285  .251  .278  .278  .284  .297  .314  .307  .289  .274  .274  .274  .291  
.301  .299  .298  .285  .265  .279  .241  .285  .260  .286  .302  .306  .302  .288  .277  .263  .271  .293 
